worker,declaration,answer
A2I3Y0L38HMQLZ,cheaper products thnx,Price
A2LV5QYHH24OMY,i think it's great as it is.,None
A2I3Y0L38HMQLZ,more sales,Price
A2LV5QYHH24OMY,please start accepting laser cards i would order way more if i could pay with laser,MoreFunc
A312KFQ78WB3A4,bigger sizes,Size
A2LV5QYHH24OMY,Love the site!,None
A312KFQ78WB3A4,all your favourite clothes so that you don't have to try and find them again if you want to order them also if the item in your favourites comes down in price then you would get an alert to tell you the good news!,Price|MoreFunc
A2LV5QYHH24OMY,I don't think there is anything you could improve on apart from to maybe bring the prices down,Price
A2LV5QYHH24OMY,overall is great!,None
A2LV5QYHH24OMY,it would be better if you could access more items per page??,MoreFunc
A2LV5QYHH24OMY,i would like to see more smaller sizes e.g,Range|Size
A2LV5QYHH24OMY,price,Price
A2LV5QYHH24OMY,cheaper delivery!,Delivery
A312KFQ78WB3A4,OH GOD IT'S ALL SO EXPENSIVE,Price
A2LV5QYHH24OMY,It states: Monday-Friday 9am-9pm.,None
A2LV5QYHH24OMY,Free Delivery or Delivery cut down,Delivery
A2QN0EGBRGJU1M,have more sales,Price
A2I3Y0L38HMQLZ,Thanks!,None
A2I3Y0L38HMQLZ,cheaper vans ?,Price
A2LV5QYHH24OMY,its great!,None
A2LV5QYHH24OMY,nothing,None
A2LV5QYHH24OMY,price,Price
A312KFQ78WB3A4,nothing its perfect,None
A312KFQ78WB3A4,lower prices,Price
A2LV5QYHH24OMY,nothing,None
A2LV5QYHH24OMY,have your clothes on models so you can see how they really look and hang on your frame,Images|MoreFunc
A2LV5QYHH24OMY,just want to read on your site,None
A2LV5QYHH24OMY,its fine,None
A2LV5QYHH24OMY,It's perfect!,None
A2I3Y0L38HMQLZ,like the site,None
A2I3Y0L38HMQLZ,to slow,Latency
A2LV5QYHH24OMY,When showing an  item&#44; you could show a possible outfit next to it&#44; so you know what to style with it.,MoreFunc
A312KFQ78WB3A4,very easy to use,Navigation
A3SWVCOJPJM7KQ,Lower the prices.,Price
A34M93NJC830DP,easy to use.,Navigation
A312KFQ78WB3A4,Lower your prices,Price
A2LV5QYHH24OMY,cheaper prices,Price
A2LV5QYHH24OMY,price,Price
A2LV5QYHH24OMY,Thank you.,None
AVX3SWFMBEPMZ,Its ok -,None
A2LV5QYHH24OMY,the prices are so high its unbelieveable&#44; if it was cheaper i would buy so much from here!,Price
A2LV5QYHH24OMY,nothing,None
A34M93NJC830DP,go away,None
A2LV5QYHH24OMY,Very good,None
A2LV5QYHH24OMY,I like the clothes.,Products
A2I3Y0L38HMQLZ,Send my items faster,Delivery
A1KYGP10BH4FXU,Bigger selections otherwise good!,Range
A312KFQ78WB3A4,Easy to navigate&#44;,Navigation
A2QN0EGBRGJU1M,it keeps freezing,Latency
A1KYGP10BH4FXU,create a lookbook,MoreFunc
A2I3Y0L38HMQLZ,save the my bag items when the website is closed,MoreFunc
A2BWMYV8JU7RO4,it looks neat,None
A2LV5QYHH24OMY,reduce your prices!,Price
A2BWMYV8JU7RO4,its not very easy to navigate back to main shopping page after you have clicked through to a specific item.....,Navigation
A2I3Y0L38HMQLZ,cheaper,Price
A2LV5QYHH24OMY,be cheaper,Price
A34M93NJC830DP,its good,None
A312KFQ78WB3A4,Progress bars when adding items to cart are not visible enough & too slow.,Latency
A2LV5QYHH24OMY,thanks,None
A2LV5QYHH24OMY,it is fantastic,None
A2LV5QYHH24OMY,i love u,None
A2LV5QYHH24OMY,Everything!,None
A2I3Y0L38HMQLZ,everything.,None
A1KYGP10BH4FXU,tout est trop beau,None
A1KYGP10BH4FXU,Some of the models are too skinny.,None
A312KFQ78WB3A4,free delivery,Delivery
A2I3Y0L38HMQLZ,Easy to use.,Navigation
A2I3Y0L38HMQLZ,cheaper,Price
A312KFQ78WB3A4,everything,None
A312KFQ78WB3A4,PRICE,Price
A2LV5QYHH24OMY,more sales!,Price
A2LV5QYHH24OMY,more gold necklaces,Range
A2LV5QYHH24OMY,nothing,None
A2LV5QYHH24OMY,Make the prices cheaper.,Price
A2LV5QYHH24OMY,The site is easy to use,Navigation
A312KFQ78WB3A4,better clothes,Products
A312KFQ78WB3A4,..satisfying ;),None
A2I3Y0L38HMQLZ,put together more collections,MoreFunc
A2LV5QYHH24OMY,much love!,None
A2I3Y0L38HMQLZ,more sales!!!,Price
A2LV5QYHH24OMY,clearer pictures would be better,Images|Navigation
A312KFQ78WB3A4,Free delivery to STORES.,Delivery
A2I3Y0L38HMQLZ,more sales,Price
A2I3Y0L38HMQLZ,Nothing!,None
A2LV5QYHH24OMY,NOTHING,None
A2LV5QYHH24OMY,show sizes produced both in stock and out of stock&#44; this shows if they are produced or not and show colour variation of the product in drop-down box,Stock|MoreFunc
A1KYGP10BH4FXU,Need better visual images - lot of the flowers look cheap - everything seems to be pink e.g vintage flora&#44; oriental breeze - need more elegant boquets and photo shots,Latency|None
A2LV5QYHH24OMY,customer services replied to my enquiry with a link to a messsage that i was able to read once and is now inaccessable.,Navigation
A2LV5QYHH24OMY,its clearly laid out,Navigation
A34M93NJC830DP,cheaper clothes better quality,Price|Products
A2LV5QYHH24OMY,show what size the model is wearing,Size|MoreFunc
A2LV5QYHH24OMY,I like the layout,Navigation
A34M93NJC830DP,the checking out system takes to long and doesnt find my address for me,Navigation
A2LV5QYHH24OMY,great,None
A2LV5QYHH24OMY,make everything 50% cheaper please.,Price
A2I3Y0L38HMQLZ,love the style and quick and neat delivery!,Delivery|Products
A3SWVCOJPJM7KQ,everything is amazing other that some product will be out of stock very soon and will not be provided later .,Stock
A2QN0EGBRGJU1M,LOWER THE PRICES!!!!,Price
A2I3Y0L38HMQLZ,restock on your shoes - ive tried looking for your cold sequin heel with the rest balck,Stock
A1SFABJ4NX5DFY,I found the site clear and easy to use.,Navigation
A2QN0EGBRGJU1M,602 37 00 35.,None
A2I3Y0L38HMQLZ,far too expensive,Price
A2LV5QYHH24OMY,I love this site!,None
A312KFQ78WB3A4,its great,None
A2LV5QYHH24OMY,its too slow,Latency
A2QN0EGBRGJU1M,Let us chose delievery option to make delivery quicker,Delivery
A2LV5QYHH24OMY,I LOVE YOU!,None
A312KFQ78WB3A4,bigger sizes,Size
A2LV5QYHH24OMY,speed in uploading the pages...it takes lots of time to move from one page to another.,Latency
A2I3Y0L38HMQLZ,easy to use,Navigation
A2LV5QYHH24OMY,make vans cheaper :(,Price
A2I3Y0L38HMQLZ,better refine funtionality,MoreFunc
A2LV5QYHH24OMY,Replacing popular items when they have sold out.,Stock
A2I3Y0L38HMQLZ,im finding it hard to locate a top seen in a dept store.,Navigation
A2LV5QYHH24OMY,cheaper prices,Price
A1KYGP10BH4FXU,i like the choices of syles,Range
A2I3Y0L38HMQLZ,You could improve your variety of trainers.,Range
A312KFQ78WB3A4,Nothing :),None
A1KYGP10BH4FXU,make prices cheaper,Price
A2LV5QYHH24OMY,why dont you do bigger bra sizes?,Size
A2I3Y0L38HMQLZ,it okay,None
A2LV5QYHH24OMY,rubbish !!,None
A2LV5QYHH24OMY,have to option to select sizes and then filter.,MoreFunc
A2QN0EGBRGJU1M,This is the first time of using the site!,None
A2I3Y0L38HMQLZ,lower your prices.,Price
A34M93NJC830DP,lower your prices!!,Price
A2I3Y0L38HMQLZ,There's a great range,Range
A2BWMYV8JU7RO4,all its ok!!!,None
A2LV5QYHH24OMY,bring down the prices on everything i hardly buy anything from here anymore i just go on ebay?,Price
A2LV5QYHH24OMY,I buy a lot of clothes from here and it can get expensive,Price
A2LV5QYHH24OMY,Bring back nike blazer high vintage in BLACK pleaseee,Range
A312KFQ78WB3A4,Considerably cheaper than instore sale and the product range is far better.,Price|Range
A2BWMYV8JU7RO4,it is good.,None
A2LV5QYHH24OMY,why dont you do bigger bra sizes?,Size
A2LV5QYHH24OMY,is the a wide range of clothes on the site.,Range
A2LV5QYHH24OMY,excellent,None
A2LV5QYHH24OMY,PRICE TOO HIGH,Price
A2I3Y0L38HMQLZ,cheaper,Price
A312KFQ78WB3A4,lower your prices,Price
A2LV5QYHH24OMY,She also said that a few pounds worth of flowers from a supermarket would have been more appreciated,None
A2LV5QYHH24OMY,The pages never load properly the first time I try,Latency
A2LV5QYHH24OMY,use models wearing clothes - giving height and size she's weaaring - and not all 5'11'' wearing size 8 either.,Images|MoreFunc
A2LV5QYHH24OMY,nothing,None
A2LV5QYHH24OMY,bring in womens v neck jumpers in all sizes please!!,Products|Size
A2LV5QYHH24OMY,its all good,None
A2LV5QYHH24OMY,Get your pages to load properly!,Latency
A2I3Y0L38HMQLZ,MAKE YOUR CLOTHES CHEAPER,Price
A2I3Y0L38HMQLZ,more sales!!!,Price
A312KFQ78WB3A4,make everything cheaper,Price
A2I3Y0L38HMQLZ,DELIVERY DETAILS FOR BFPO NUMBERS,Delivery
A2I3Y0L38HMQLZ,Would be great if you could check stock in Irish stores also.,Stock|MoreFunc
A2LV5QYHH24OMY,Make your prices lower please!,Price
A2LV5QYHH24OMY,Nothing wrong xx :),None
A2LV5QYHH24OMY,remove out of stock items!,Stock|MoreFunc
A2LV5QYHH24OMY,GET better clothes,Products
A2LV5QYHH24OMY,I like your navigation system as it is easy to use.,Navigation
A312KFQ78WB3A4,everything,None
A2LV5QYHH24OMY,reduce prices!!,Price
A312KFQ78WB3A4,It would be great if I could sort by color!,MoreFunc
A2LV5QYHH24OMY,make the prices cheaper<3,Price
A2LV5QYHH24OMY,be cheaper,Price
A312KFQ78WB3A4,Lower your prices,Price
A312KFQ78WB3A4,lower prices,Price
A2LV5QYHH24OMY,I`m from Brazil and I loooove all.,None
A312KFQ78WB3A4,love the site,None
A2LV5QYHH24OMY,site is to use,None
A2LV5QYHH24OMY,need more bridal,Range
A312KFQ78WB3A4,love it!,None
A2BWMYV8JU7RO4,When you return to the page you were on after clicking to view an item&#44; you are automatically sent back to the top of the page&#44; this is annoying as I lose my place,Navigation
A2M0X98KWWCAA,function to search category by material would be great,Navigation
A312KFQ78WB3A4,keep items in the shopping basket for next visit,MoreFunc
A34M93NJC830DP,its good,None
A312KFQ78WB3A4,I love your site.,None
A34M93NJC830DP,Please ship to Norway :),Delivery
A2I3Y0L38HMQLZ,cheaper,Price
A312KFQ78WB3A4,love the clothes,Products
A312KFQ78WB3A4,REDUCE DELIVERY CHARGE,Delivery
A1KYGP10BH4FXU,there are items out of stock which are available instore,Stock
A1K9WP8Q74E9G2,CHEAPER CLOTHES,Price
A2I3Y0L38HMQLZ,Love it!,None
A2LV5QYHH24OMY,save for later bags 30 days like asos,MoreFunc
A2I3Y0L38HMQLZ,make it cheaper,Price
A312KFQ78WB3A4,prices,Price
A2LV5QYHH24OMY,more comme des garson please,Range
A312KFQ78WB3A4,love it,None
A2I3Y0L38HMQLZ,cheaper!,Price
A2LV5QYHH24OMY,goood,None
A2LV5QYHH24OMY,get out,None
A312KFQ78WB3A4,i like the site,None
A2LV5QYHH24OMY,like free delivery & returns.,Delivery
A2I3Y0L38HMQLZ,your items are too expensive.,Price
A2I3Y0L38HMQLZ,wish list so i can go back to things i like&#44; therefore i can have time to decide whether i would like to order that item:)x,MoreFunc
A2LV5QYHH24OMY,Like ease of use and search option,Navigation
A2LV5QYHH24OMY,nothing,None
A2LV5QYHH24OMY,Good site,None
A1KYGP10BH4FXU,I love your site!,Navigation
A312KFQ78WB3A4,great!,None
A2I3Y0L38HMQLZ,cheaper,Price
A2I3Y0L38HMQLZ,Loveeeee.,None
A2QN0EGBRGJU1M,Ban pony skin items.,Range
A2I3Y0L38HMQLZ,cheaper,Price
A2I3Y0L38HMQLZ,I have not form a option yet.,None
A2LV5QYHH24OMY,nice clothing.,Products
A1KYGP10BH4FXU,the price,Price
A1KYGP10BH4FXU,the price,Price
A2I3Y0L38HMQLZ,cheaper,Price
A2LV5QYHH24OMY,cheaper prices,Price
AVX3SWFMBEPMZ,lower your prices!,Price
A2LV5QYHH24OMY,expend more men options!!!!,Range
A312KFQ78WB3A4,thank you,None
A312KFQ78WB3A4,you need to improve everything,None
A312KFQ78WB3A4,its to slow,Latency
A2LV5QYHH24OMY,expand your collection and reduce price,Price|Range
A2LV5QYHH24OMY,more maxi dresses&#44; and midi dresses for petite,Range|Size
A2LV5QYHH24OMY,make things cheaper,Price
A2I3Y0L38HMQLZ,maybe there is to much activity or the server not strong enough..,Latency
A2I3Y0L38HMQLZ,i like the layout and how easy it is to use i dont have any improvements,Navigation
A2LV5QYHH24OMY,more cheaper,Price
A2LV5QYHH24OMY,lower the prices,Price
A2QN0EGBRGJU1M,Prices.,Price
A2BWMYV8JU7RO4,student discount,Price
A2LV5QYHH24OMY,FREE DELIVERY!,Delivery
A312KFQ78WB3A4,pls provide  viewall links,MoreFunc
A2BWMYV8JU7RO4,very easy to navigate,Navigation
A312KFQ78WB3A4,make everything cheaper,Price
A2LV5QYHH24OMY,show sizes produced both in stock and out of stock&#44; this shows if they are produced or not and show colour variation of the product in drop-down box,Stock|MoreFunc
A2LV5QYHH24OMY,grand,None
A312KFQ78WB3A4,Please ship to Brazil!!!!,Delivery
A2LV5QYHH24OMY,nothing,None
A312KFQ78WB3A4,prices,Price
A312KFQ78WB3A4,Its amazing,None
A2I3Y0L38HMQLZ,make it cheaper pls,Price
A3SWVCOJPJM7KQ,Lower prices,Price
A2LV5QYHH24OMY,navigation around the site,Navigation
A2LV5QYHH24OMY,site keeps crashing,Latency
AVX3SWFMBEPMZ,great site!,None
A2LV5QYHH24OMY,nothing,None
A2I3Y0L38HMQLZ,SHIP TO AMERICA,Delivery
A2LV5QYHH24OMY,the fact that you can view a lot on one page as oppose to clicking next all the time,Navigation
A2LV5QYHH24OMY,cheaper prices?,Price
A3SWVCOJPJM7KQ,Lower prices,Price
A2I3Y0L38HMQLZ,too expensive!!!!,Price
A2LV5QYHH24OMY,make the prices cheaper,Price
A1KYGP10BH4FXU,not sweeping the floor) that are closed at the bottom,None
A312KFQ78WB3A4,put more clothes on the website,Range
A2LV5QYHH24OMY,S'all good!,None
A2LV5QYHH24OMY,a bit slow,Latency
A312KFQ78WB3A4,lower prices,Price
A2I3Y0L38HMQLZ,You need an online 'look book',MoreFunc
A2LV5QYHH24OMY,the fact that you can view a lot on one page as oppose to clicking next all the time,Navigation
A2LV5QYHH24OMY,make your stuff cheaper!!,Price
A2LV5QYHH24OMY,nothing :),None
AVX3SWFMBEPMZ,it's slow,Latency
A2LV5QYHH24OMY,your prices lols~,Price
A15MK127K9F2DZ,it's good,None
A2LV5QYHH24OMY,its easy to navigate,Navigation
A1KYGP10BH4FXU,its perfect!,Navigation
A312KFQ78WB3A4,everything,None
A312KFQ78WB3A4,prices,Price
A2QN0EGBRGJU1M,Make it possible to change login,MoreFunc
A312KFQ78WB3A4,i love it,None
A2LV5QYHH24OMY,buy one get one free on toms pretty please this is the only way you can improve you shop !,Price
A2LV5QYHH24OMY,to expensive,Price
A2I3Y0L38HMQLZ,voucher usage,MoreFunc
A312KFQ78WB3A4,Great images and easy to navigate.,Navigation
A1K9WP8Q74E9G2,CHEAPER CLOTHES,Price
A312KFQ78WB3A4,too expensive,Price
A2LV5QYHH24OMY,great site.,Navigation
A2I3Y0L38HMQLZ,the only thing is some of your  prices for your merchandise are way too high.,Price
A2M0X98KWWCAA,your site is easy to navigate..,Navigation
A312KFQ78WB3A4,The variety of choice is fab and the price is reasonable...,Price|Range
AVX3SWFMBEPMZ,dont know,None
A2QN0EGBRGJU1M,NOTHING!,None
A2I3Y0L38HMQLZ,cheaper,Price
A2LV5QYHH24OMY,dunno,None
A2I3Y0L38HMQLZ,Except it would be nice to see my purchase in Canadian $ not pounds.,MoreFunc
A2LV5QYHH24OMY,Delivery to store or check stock in store,Delivery
A2I3Y0L38HMQLZ,more options to make it easier to find what you want as if say there are 80 pages you may get bored of looking and just go to a different website so if you can do that it would help,Navigation
A2I3Y0L38HMQLZ,site slows down my computer?,Latency
A312KFQ78WB3A4,about the price please put the reasonable price???????????,Price
A2LV5QYHH24OMY,nothing.,None
A2LV5QYHH24OMY,nothing,None
A2LV5QYHH24OMY,make stuff cheaper im too poor,Price
A2BWMYV8JU7RO4,please lower the prices,Price
A312KFQ78WB3A4,lower your prices,Price
A2LV5QYHH24OMY,It's perfect!!!,None
A2QN0EGBRGJU1M,prices are too high; bullshit,Price
A2LV5QYHH24OMY,nothing,None
A1KYGP10BH4FXU,Please bring more army jackets to the shop not army tops,None
A1KYGP10BH4FXU,lower prices.,Price
A1KYGP10BH4FXU,its perfect!,Navigation
A2I3Y0L38HMQLZ,Nice shoes.,Products
A34M93NJC830DP,its good,None
A2LV5QYHH24OMY,i would like a wish list pleaseeeeee,MoreFunc
A2I3Y0L38HMQLZ,cheaper......,Price
A312KFQ78WB3A4,I liked that the site is so easy to use&#44; has food delivery/collection choices and has a great range of items.,Range|Navigation
A2LV5QYHH24OMY,add more clothes :),Range
A312KFQ78WB3A4,when browsing e.g.,None
A312KFQ78WB3A4,Very good!,None
A2I3Y0L38HMQLZ,cheaper......,Price
A2I3Y0L38HMQLZ,cheeper bags and more sale,Price
A312KFQ78WB3A4,its nice,None
A2I3Y0L38HMQLZ,love everything,Navigation
A2LV5QYHH24OMY,easy to use and navigate,Navigation
A312KFQ78WB3A4,The review sections is really helpful,Navigation
A2I3Y0L38HMQLZ,make it faster,Latency
A312KFQ78WB3A4,free delivery,Delivery
A2LV5QYHH24OMY,sucks,None
A2LV5QYHH24OMY,very slow,Latency
A2LV5QYHH24OMY,If the item is out of stock..,Stock
A2LV5QYHH24OMY,more collections would be better,Range
A2BWMYV8JU7RO4,deliver to dubai!,Delivery
A2LV5QYHH24OMY,Not deleting the shopping bag after looking at a few items,MoreFunc
A2LV5QYHH24OMY,It is perfect,None
A2LV5QYHH24OMY,you can improve this website by adding a chat so we can ask someone about the clothing like with the sizing because im always stuck what size to get and would prefer help to ask if their tight or small fitting,Size|MoreFunc
A2I3Y0L38HMQLZ,no thanks,None
A2LV5QYHH24OMY,its all good,None
A2I3Y0L38HMQLZ,????? ?????,None
A2LV5QYHH24OMY,i like the simplicity and the functional way.,Navigation
A2LV5QYHH24OMY,Good site,None
A2I3Y0L38HMQLZ,cheaper shoes.,Price
A2I3Y0L38HMQLZ,its perfect,None
A2LV5QYHH24OMY,You should send your stuff to germany!,Delivery
A312KFQ78WB3A4,everything,None
A1KYGP10BH4FXU,Love the ease of using your site&#44; great selection and variety of quality blooms to choose from&#44;  with prices that suit everyone's pocket&#44; always positive feedback from recipients&#44; ticks all my boxes,None
A2I3Y0L38HMQLZ,no thanks,None
A2LV5QYHH24OMY,The assistants are clearly directed that they should avoid giving refunds (and having to go against shop policy) and instead are very pushy about making you chose another pair.,None
A312KFQ78WB3A4,later please...,None
A312KFQ78WB3A4,DA PRICES INNIT BRUVV LOVE YAA XOXOXOX,Price
A2BWMYV8JU7RO4,very easy to navigate,Navigation
A2I3Y0L38HMQLZ,cheaper,Price
A2QN0EGBRGJU1M,Prices too high in this kind of recession.,Price
A2LV5QYHH24OMY,nothing,None
A2LV5QYHH24OMY,its all good,None
A312KFQ78WB3A4,free delivery,Delivery
A2LV5QYHH24OMY,make your clothes cheaper!,Price
A1KYGP10BH4FXU,FREE DELIVERY MORE!!!!!!!!!!!!!!:),Delivery
A2LV5QYHH24OMY,gooood,None
A2I3Y0L38HMQLZ,i can't afford anything,Price
A2LV5QYHH24OMY,it would be an awesome shop if you get free shipping and lower the price!!,Delivery|Price
A312KFQ78WB3A4,love it!,None
A2LV5QYHH24OMY,the size,Size
A2I3Y0L38HMQLZ,I need the measurements,Size
A3E157ZN8XPUKJ,have a wish list so i can remember what i like and might want to buy and go back to them later:)x,MoreFunc
A2LV5QYHH24OMY,displaying more on one page at a time without having to click show all?,MoreFunc
A2LV5QYHH24OMY,price,Price
A2LV5QYHH24OMY,Free delivery!,Delivery
A2I3Y0L38HMQLZ,EVERYTHING,None
A2I3Y0L38HMQLZ,Nice and  fast,Latency
A2LV5QYHH24OMY,I think the only thing that could be improve is the pricing of shipping it is a little expensive,Delivery
A2LV5QYHH24OMY,excellent.,None
A2I3Y0L38HMQLZ,cheaper,Price
A2I3Y0L38HMQLZ,Great site,None
A1KYGP10BH4FXU,LOWER PRICES,Price
A312KFQ78WB3A4,I love how you've started putting images of people wearing your items of clothing&#44; it really helps to get a better idea of how the item looks and how it sits on your body,Images
A2I3Y0L38HMQLZ,Give free inventory to Lucas Rivers,None
A1KYGP10BH4FXU,nothing its easy to use,Navigation
A2LV5QYHH24OMY,great,None
A312KFQ78WB3A4,hhshsgwgdywed,None
A2I3Y0L38HMQLZ,bring back clothing from past months/years and sell it again,Range
A2LV5QYHH24OMY,make it where you can email the picture of the dresses to a friend.,MoreFunc
A34M93NJC830DP,delivery of ordered gods,Delivery
A312KFQ78WB3A4,a wish list,MoreFunc
A2LV5QYHH24OMY,I would like read ithe site in spanish language.,MoreFunc
A2LV5QYHH24OMY,I would like to see more dress up advises.,MoreFunc
A2LV5QYHH24OMY,I HAVE A QUESTION PLEASE,None
A312KFQ78WB3A4,love it!,None
A2LV5QYHH24OMY,lower the prices pleeeeeeeeease!!!,Price
A2LV5QYHH24OMY,its easy to navigate,Navigation
A2LV5QYHH24OMY,dtartsdf,None
A2LV5QYHH24OMY,i like the layout - well spaced,Navigation
A2LV5QYHH24OMY,great,None
A2LV5QYHH24OMY,free clothes,None
A2BWMYV8JU7RO4,More younger looking styles for teenagers who still havent gone on to that older look.,Range
A2LV5QYHH24OMY,"the only improvement would be for the page to stay where you are when you click ""view all"" as it is very annoying to have to scroll back down to where you were",MoreFunc
A312KFQ78WB3A4,prices,Price
A2LV5QYHH24OMY,asked for hereford delivery and you dont do it gross misreprisentation!!!!!!,Delivery
A312KFQ78WB3A4,its great,None
A1KYGP10BH4FXU,Lower your prices.,Price
A2I3Y0L38HMQLZ,cheaper,Price
A2I3Y0L38HMQLZ,cheaper,Price
A312KFQ78WB3A4,too expensive,Price
A2LV5QYHH24OMY,your site is fine,Navigation
A312KFQ78WB3A4,MAKE PRICES CHEAPER,Price
A2LV5QYHH24OMY,your prices,Price
A2LV5QYHH24OMY,good site,None
A2LV5QYHH24OMY,I like the layout and everything,Navigation
A2LV5QYHH24OMY,A very easy site to use,Navigation
A2LV5QYHH24OMY,nothing,None
A2LV5QYHH24OMY,Its great,None
A2I3Y0L38HMQLZ,the pice is high...,Price
A2I3Y0L38HMQLZ,next day delivery,Delivery
A312KFQ78WB3A4,the site is too long nd slow,Latency
A2LV5QYHH24OMY,It's easy to use,Navigation
A2I3Y0L38HMQLZ,i submitted order and there was a consistent error message.,Latency
A312KFQ78WB3A4,lower prices,Price
A312KFQ78WB3A4,make everything cheaper,Price
A3SWVCOJPJM7KQ,Lower prices,Price
A2LV5QYHH24OMY,make things cheaper I wanted to buy a lot of your items,Price
A312KFQ78WB3A4,its too slow.,Latency
A312KFQ78WB3A4,do a next day delivery,Delivery
A2I3Y0L38HMQLZ,Filters on left hand side work well!,Navigation
A2I3Y0L38HMQLZ,It's amazing!!!!!!,None
A2QN0EGBRGJU1M,españa,None
A2LV5QYHH24OMY,Very easy to use.,Navigation
A2QN0EGBRGJU1M,i hope if there is more things in armani jeans.,Range
A2LV5QYHH24OMY,more colour to make it look attractive,Navigation
A2LV5QYHH24OMY,reduce prices!!,Price
A2LV5QYHH24OMY,be cheaper,Price
AVX3SWFMBEPMZ,great site!,None
A312KFQ78WB3A4,it's fine as it is,None
A312KFQ78WB3A4,make clothes cheaper.,Price
A2LV5QYHH24OMY,rrrttvcdv,None
A312KFQ78WB3A4,lower prices,Price
A2LV5QYHH24OMY,its all good,None
A2I3Y0L38HMQLZ,make cheaper dresses please,Price
A2LV5QYHH24OMY,please allow for email to friend,MoreFunc
A1KYGP10BH4FXU,HAVE CHEAPER ITEMS,Price
A2LV5QYHH24OMY,very slow,Latency
A2LV5QYHH24OMY,I love your clothes&#44;,Products
A1KYGP10BH4FXU,make prices cheaper,Price
A2LV5QYHH24OMY,assortment to be improved,Range
A2LV5QYHH24OMY,price,Price
A2LV5QYHH24OMY,i like the design,Navigation
A2I3Y0L38HMQLZ,You have a lot on your website - some stores have a limited collection to view online,Range
A312KFQ78WB3A4,lower prices,Price
A2LV5QYHH24OMY,I love your clothes&#44;,Products
A2LV5QYHH24OMY,thanks,None
A2I3Y0L38HMQLZ,Bigger pictures,Images
A2LV5QYHH24OMY,like it,None
A2I3Y0L38HMQLZ,I like that it automatically zooms when hovering over the picture and the reviews are so useful!,Images|Navigation
A2BWMYV8JU7RO4,Livrer en FRANCE !,Delivery
A2LV5QYHH24OMY,cheaper prices,Price
A312KFQ78WB3A4,the shipping too expensive.,Delivery
A312KFQ78WB3A4,Thanks,None
A2I3Y0L38HMQLZ,Put dollar amounts in different currency :),MoreFunc
A312KFQ78WB3A4,lower your prices,Price
A2I3Y0L38HMQLZ,Make delivery free after maybe 70?,Delivery
A2LV5QYHH24OMY,everything is perfect in your website ..,Navigation
A2I3Y0L38HMQLZ,easy to use&#44; selection process is a little slow.,Latency|Navigation
A312KFQ78WB3A4,i like everything,None
A2LV5QYHH24OMY,be cheaper,Price
A2I3Y0L38HMQLZ,Do a value range or a teen affordable one,Price
A1KYGP10BH4FXU,i like the choices of syles,Range
A2LV5QYHH24OMY,I find the different pages for Tops and Jersey Tops a bit confusing as I don't really know the difference very well!,Navigation
A2LV5QYHH24OMY,You could have a live chat option.,MoreFunc
A2LV5QYHH24OMY,the navi zip hoody is only in size 6 and i'd like to order one in size 10,Size
A2LV5QYHH24OMY,price,Price
A2LV5QYHH24OMY,lower the prices,Price
A2LV5QYHH24OMY,i love your website,Navigation
A312KFQ78WB3A4,prices,Price
A2I3Y0L38HMQLZ,I don't like it because i didin't found shipping to chile.,Delivery
A2LV5QYHH24OMY,yahoo,None
A2LV5QYHH24OMY,great,None
A2I3Y0L38HMQLZ,souper,None
A2I3Y0L38HMQLZ,I found exactly what I needed and plenty more had my budget allowed,Navigation
A312KFQ78WB3A4,nbvki.,None
A2I3Y0L38HMQLZ,I like the lay out of the site,Navigation
A2LV5QYHH24OMY,Bring back the wish list!,MoreFunc
A3SWVCOJPJM7KQ,Lower prices,Price
A2I3Y0L38HMQLZ,cheaper clothes innit,Price
A2LV5QYHH24OMY,Quicker to load pages,Latency
A2LV5QYHH24OMY,I felt the site was very clear & easy to use.,Navigation
A2LV5QYHH24OMY,the prices!,Price
A2I3Y0L38HMQLZ,I LOVE IT,None
A2LV5QYHH24OMY,Delivery to Brazil,Delivery
A2LV5QYHH24OMY,cheaper shoes,Price
A3SWVCOJPJM7KQ,you ould inprove by it all set out in setions,Navigation
A2I3Y0L38HMQLZ,make it cheaper pls,Price
A2LV5QYHH24OMY,bring in different types of Doc Martens,Range
A2I3Y0L38HMQLZ,The free international shipping offer is excellent!,Delivery
A2I3Y0L38HMQLZ,EVERYTHING,None
A2LV5QYHH24OMY,I love everything,None
A312KFQ78WB3A4,lower prices,Price
A312KFQ78WB3A4,lower prices,Price
A2LV5QYHH24OMY,You should have more of every piece :),Stock
A2LV5QYHH24OMY,its excellentooo,None
A2I3Y0L38HMQLZ,Infact I think this web site is very old fashioned & needs to be updated immediately if not sooner!,Navigation
A2QN0EGBRGJU1M,jehfsdgfdfhdfdfdkfhsdlfknsdlsdlgkdbslsdjvhxcvxcvlkxch,None
A2I3Y0L38HMQLZ,Never mind been pregnant again and not having any clothes that fit,None
A2I3Y0L38HMQLZ,Thanks Helen,None
A2I3Y0L38HMQLZ,I like everything,None
A2I3Y0L38HMQLZ,price could be lower,Price
A312KFQ78WB3A4,i like the layout,Navigation
A2LV5QYHH24OMY,organisation,Navigation
A2I3Y0L38HMQLZ,I would like a spanish website.,MoreFunc
A2LV5QYHH24OMY,cheaper prices,Price
A2LV5QYHH24OMY,Definitely carry more swimwear!!!!,Range
